#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,_result,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,workpackage
,,12,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-04-26T00:00:00Z,0,value,kpi_1,wp1026
,,13,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-03-01T00:00:00Z,0.9523809523809523,value,kpi_1,wp1003
,,13,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-03-15T00:00:00Z,0.9714285714285714,value,kpi_1,wp1003
,,13,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-03-29T00:00:00Z,0.9795918367346939,value,kpi_1,wp1003
,,13,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-04-12T00:00:00Z,0.9841269841269841,value,kpi_1,wp1003
,,13,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-04-26T00:00:00Z,0.987012987012987,value,kpi_1,wp1003
,,14,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-03-01T00:00:00Z,0,value,kpi_1,wp1019
,,14,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-03-15T00:00:00Z,0,value,kpi_1,wp1019
,,14,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-03-29T00:00:00Z,0,value,kpi_1,wp1019
,,14,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-04-12T00:00:00Z,0,value,kpi_1,wp1019
,,14,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-04-26T00:00:00Z,0,value,kpi_1,wp1019
,,15,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-03-01T00:00:00Z,0.6176470588235294,value,kpi_1,wp1002
,,15,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-03-15T00:00:00Z,0.6176470588235294,value,kpi_1,wp1002
,,15,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-03-29T00:00:00Z,0.6176470588235294,value,kpi_1,wp1002
,,15,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-04-12T00:00:00Z,0.6176470588235294,value,kpi_1,wp1002
,,15,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-04-26T00:00:00Z,0.6176470588235294,value,kpi_1,wp1002
,,16,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-03-01T00:00:00Z,0,value,kpi_1,wp1017
,,16,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-03-15T00:00:00Z,0,value,kpi_1,wp1017
,,16,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-03-29T00:00:00Z,0,value,kpi_1,wp1017
,,16,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-04-12T00:00:00Z,0,value,kpi_1,wp1017
,,16,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-04-26T00:00:00Z,0.7142857142857143,value,kpi_1,wp1017
,,17,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-03-01T00:00:00Z,0,value,kpi_1,wp1016
,,17,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-03-15T00:00:00Z,0,value,kpi_1,wp1016
,,17,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-03-29T00:00:00Z,0,value,kpi_1,wp1016
,,17,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-04-12T00:00:00Z,0,value,kpi_1,wp1016
,,17,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-04-26T00:00:00Z,0.6666666666666666,value,kpi_1,wp1016
,,18,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-03-01T00:00:00Z,0,value,kpi_1,wp1010
,,18,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-03-15T00:00:00Z,0,value,kpi_1,wp1010
,,18,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-03-29T00:00:00Z,0.21875,value,kpi_1,wp1010
,,18,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-04-12T00:00:00Z,0.45652173913043476,value,kpi_1,wp1010
,,18,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-04-26T00:00:00Z,0.5833333333333334,value,kpi_1,wp1010
,,19,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-03-01T00:00:00Z,0.8666666666666667,value,kpi_1,wp1006
,,19,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-03-15T00:00:00Z,0.9310344827586207,value,kpi_1,wp1006
,,19,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-03-29T00:00:00Z,0.9534883720930233,value,kpi_1,wp1006
,,19,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-04-12T00:00:00Z,0.9649122807017544,value,kpi_1,wp1006
,,19,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-04-26T00:00:00Z,0.971830985915493,value,kpi_1,wp1006
,,20,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-03-01T00:00:00Z,0,value,kpi_1,wp1013
,,20,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-03-15T00:00:00Z,0,value,kpi_1,wp1013
,,20,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-03-29T00:00:00Z,0,value,kpi_1,wp1013
,,20,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-04-12T00:00:00Z,0.5714285714285714,value,kpi_1,wp1013
,,20,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-04-26T00:00:00Z,0.8571428571428571,value,kpi_1,wp1013
,,21,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-03-01T00:00:00Z,0,value,kpi_1,wp1014
,,21,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-03-15T00:00:00Z,0,value,kpi_1,wp1014
,,21,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-03-29T00:00:00Z,0,value,kpi_1,wp1014
,,21,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-04-12T00:00:00Z,0.25,value,kpi_1,wp1014
,,21,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-04-26T00:00:00Z,0.8333333333333334,value,kpi_1,wp1014
,,22,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-03-01T00:00:00Z,0,value,kpi_1,wp1012
,,22,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-03-15T00:00:00Z,0,value,kpi_1,wp1012
,,22,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-03-29T00:00:00Z,0,value,kpi_1,wp1012
,,22,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-04-12T00:00:00Z,0.5333333333333333,value,kpi_1,wp1012
,,22,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-04-26T00:00:00Z,0.7586206896551724,value,kpi_1,wp1012
,,23,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-03-01T00:00:00Z,0,value,kpi_1,wp1021
,,23,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-03-15T00:00:00Z,0,value,kpi_1,wp1021
,,23,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-03-29T00:00:00Z,0,value,kpi_1,wp1021
,,23,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-04-12T00:00:00Z,0,value,kpi_1,wp1021
,,23,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-04-26T00:00:00Z,0,value,kpi_1,wp1021
,,24,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-03-01T00:00:00Z,0,value,kpi_1,wp1015
,,24,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-03-15T00:00:00Z,0,value,kpi_1,wp1015
,,24,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-03-29T00:00:00Z,0,value,kpi_1,wp1015
,,24,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-04-12T00:00:00Z,0,value,kpi_1,wp1015
,,24,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-04-26T00:00:00Z,0.8666666666666667,value,kpi_1,wp1015
,,25,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-03-01T00:00:00Z,0,value,kpi_1,wp1024
,,25,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-03-15T00:00:00Z,0,value,kpi_1,wp1024
,,25,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-03-29T00:00:00Z,0,value,kpi_1,wp1024
,,25,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-04-12T00:00:00Z,0,value,kpi_1,wp1024
,,25,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-04-26T00:00:00Z,0,value,kpi_1,wp1024
,,26,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-03-01T00:00:00Z,0,value,kpi_1,wp1018
,,26,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-03-15T00:00:00Z,0,value,kpi_1,wp1018
,,26,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-03-29T00:00:00Z,0,value,kpi_1,wp1018
,,26,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-04-12T00:00:00Z,0,value,kpi_1,wp1018
,,26,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-04-26T00:00:00Z,0,value,kpi_1,wp1018

